	product_category	part_number
541	Circular DIN Connectors	929963-1
542	Circular DIN Connectors	962968-1
543	Circular DIN Connectors	962970-7
544	Circular DIN Connectors	962969-1
545	Circular DIN Connectors	962972-7
546	Circular DIN Connectors	962972-4
547	Circular DIN Connectors	962971-8
548	Circular DIN Connectors	962972-1
549	Circular DIN Connectors	962971-4
550	Circular DIN Connectors	962971-7
551	Circular DIN Connectors	962971-1
552	Circular DIN Connectors	962972-8
553	Circular DIN Connectors	962970-1
554	Circular DIN Connectors	929965-1
555	Circular DIN Connectors	1-929964-0
556	Circular DIN Connectors	929964-1
557	Circular DIN Connectors	1-929967-4
558	Circular DIN Connectors	1-929967-0
559	Circular DIN Connectors	1-962968-0
560	Circular DIN Connectors	1-962971-4
561	Circular DIN Connectors	1-962971-0
562	Circular DIN Connectors	962967-8
563	Circular DIN Connectors	1-962967-0
564	Circular DIN Connectors	962967-1
565	Circular DIN Connectors	929973-1
566	Circular DIN Connectors	929975-8
567	Circular DIN Connectors	929975-4
568	Circular DIN Connectors	929971-7
569	Circular DIN Connectors	929975-7
570	Circular DIN Connectors	929975-1
571	Circular DIN Connectors	929972-1
572	Circular DIN Connectors	962982-7
573	Circular DIN Connectors	929970-8
574	Circular DIN Connectors	962980-1
575	Circular DIN Connectors	962982-4
576	Circular DIN Connectors	929970-7
577	Circular DIN Connectors	962982-8
578	Circular DIN Connectors	929970-1
579	Circular DIN Connectors	929971-8
580	Circular DIN Connectors	1-929974-4
581	Circular DIN Connectors	962979-1
582	Circular DIN Connectors	929969-1
583	Circular DIN Connectors	929971-1
584	Circular DIN Connectors	962981-4
585	Circular DIN Connectors	962981-7
586	Circular DIN Connectors	1-962981-4
587	Circular DIN Connectors	962978-1
588	Circular DIN Connectors	962978-7
589	Circular DIN Connectors	962978-8
590	Circular DIN Connectors	962976-1
591	Circular DIN Connectors	962977-7
592	Circular DIN Connectors	962981-8
593	Circular DIN Connectors	962977-1
594	Circular DIN Connectors	962977-8
595	Circular DIN Connectors	929974-1
596	Circular DIN Connectors	929974-4
597	Circular DIN Connectors	929974-7
598	Circular DIN Connectors	929974-8
599	Circular DIN Connectors	962982-1
600	Circular DIN Connectors	962981-1
601	Circular DIN Connectors	929967-4
